"Country","PolStab","GovEff","RegQua","RuleOL","PolicyDB","EntreprenPCplus","ExpEdu","GovFundPup","SchLifeExp","PISA","PupTeachR","TertEnrol","SciEngGrad","TertMob","ResPPop","RDExp","RDCompExp","QSRank","ICTAccWIPO5G20","ICTUseWIPO2","GovOLServ","ElecOut","LogPerf","GroCap","GDPEner","LowCarbonEner","ISOEnv","FinanceSSGEMplus","DomCred2Priv","MicroLoanIMFFAS","MarkCap","VenCapInvPB","VenCapRecPB","LateVCInt","JointVenPB","AppTariffWTO","HHI","DomMarkSc","Demogdividend","KnowIntsEmp","FemEmpDeg","GERDPerf","GERDFinBus","PublicPrivCopubs","UniResColl","THEunirank","StatClustDev","PatFam","IntelPropPay","HiTechImp","ICTSevImp","FDINetInfl","ResTalBus","PatOrig","PCTInventors","UtilModOrig","SciTechArt","CitDoc","GrowPPP","UnicornVal","CompSoftSpend","HiTechManuf","IntelPropRec","EcComplexity","HTExpHKG","ICTServExp","ISOQual","CorpIAs","TradmkOrig","BrandVal","IndustDes","CultServExp","FilmsOmdia","EntMedia","CreaGoodExp","TLDsMix","GHRecSentNoBot","AppCrea"
"LUX",1.34818715199214,1.94598507044828,1.9105534982891,1.80863214571868,2.15093388321007,0.33030038453478,0.311984717490989,0.324130085164045,0.142762006723083,1.10099719488368,0.900072194454954,-0.931892068764184,0.000662048234730374,4.65477177368434,1.31007053199236,0.145515694452432,-0.0661577191367807,-0.399817900944258,0.969260300744834,0.626558438501073,0.354488687714934,-0.439717346056757,1.01537272637819,-1.09386321813928,1.78798777093618,-0.687206532491413,-0.494856174514768,0.24228969868015,0.803855280262111,-0.477313885295003,0.0677391855797084,1.46745333748671,0.219287880804847,-0.196827454891632,2.50974242433428,0.56549846657203,0.625085262524249,-0.295485269545304,-0.924037528286872,2.59322190692585,1.82329022014107,-0.0265666161892943,0.705606260734214,1.32556810977329,1.40012584671311,1.80685619297683,1.12598860073775,0.260366799798933,1.53470511476409,-1.28597913125618,1.67199655664798,-6.8652333891005,0.380768764813926,0.271702686583485,0.232649337440678,-0.118321244684734,0.103750728969917,-0.346266074541076,-1.02434512033303,0.34478716490554,-0.386018727427883,0.0730312778210489,0.904254909955198,0.155037359993331,-0.526304353483983,0.101794121711673,-0.682892838256143,0.79760438641132,0.215866360816263,0.992908840427935,0.344845296290335,2.95833728949178,1.0212268841798,2.26408348541672,-0.567910961352631,1.32556721782485,0.827609031553492,-0.104214910949705
"NLD",0.891516621482708,1.62776675769233,1.76168324907857,1.69026761604057,0.636697882814113,1.61972341596738,0.545119961118013,0.710290517262254,1.51683130309034,1.1650703128794,0.247901501721746,1.22394253766702,-0.412784147672336,0.754723118177246,1.84918693196834,1.25451264050429,1.19231815616266,1.83742148528506,0.84238133938545,0.630216566265504,1.16731561589174,0.333517321616741,1.91778199087031,-0.564355748983487,0.69173747908509,-0.264009734101391,-0.0458130607712282,1.94427480486676,0.52959167389795,-0.422483777109761,0.358953717427403,0.119490291449553,0.373415466324989,0.182863912303078,0.562404600435,0.56549846657203,0.811403707059605,0.0209023378764103,-0.899009394632897,1.77433307734835,1.17339434527448,1.21635700811079,1.34080740162712,1.8938457451414,1.7977294048592,2.30268071469106,1.45166706712206,0.39160351508033,1.47624262750241,0.312294751809903,0.719253270172421,-0.664242515657635,2.05594790630356,0.51014253786041,1.56361561638688,-0.098680634360577,1.19786089019859,2.09319820380797,-0.390788202863097,0.295037919069211,1.43427857573819,1.14225593807551,3.82253015094539,1.05707254809349,1.03512721408597,0.351428035322097,0.165508535967551,1.08500800580637,-0.0265157658205537,1.07651467023511,0.164377666975492,0.68006930716146,-0.111912166421277,1.40340425843973,0.886910794342431,2.2247596431954,2.25969972331017,-0.0826415128059376
"CHE",1.34818715199214,2.18928150443594,1.69529228914267,1.81863591372695,1.88059887443742,1.05700713765818,0.590876301681096,0.621960366531632,0.902256203321449,1.50654920423709,0.735320859156295,0.73877284041355,0.344768980037133,1.39070953819464,1.61662262196533,2.25058673654382,2.11873773161155,2.16350195857341,1.00200425217116,0.637350676278736,0.772875695058297,0.502418252329222,1.91778199087031,0.0818522119314203,2.47324827120291,1.79024742617692,0.350233874188909,1.65029994475519,2.4346508259923,-0.422483777109761,1.4550561069083,0.323550317464094,0.776338456791315,0.103631343505394,0.743297830521276,0.673778136937111,0.394896071267286,-0.121006278767083,-1.04151575054389,1.58601093745569,0.959992437386,2.01427115237682,1.68042421922277,3.39281465159922,2.11850058121331,2.22089522657325,1.64400392703188,1.08138793205528,1.94616800845516,-0.27563760442884,0.841817386726006,-0.538634098667364,1.07688575060088,1.44182541972012,2.32385572842588,-0.098680634360577,2.25574206335,1.88070857409695,-0.0368694263888238,-0.0736258932393334,1.97408257010486,2.92301060749743,4.78581649487585,2.1342969039065,1.34745149693408,0.0211420479479617,0.559454889027538,1.00063741826927,0.362193070307312,3.08127691096381,0.527322794650832,-0.0963048295608674,2.30307249081626,3.3700844237299,0.76131436384733,1.69511845429625,2.46177384570507,-0.0465493983956368
"IRL",1.02199391591398,1.58986205892982,1.71683519336465,1.68066226338677,1.36514661248306,0.937538406180623,-0.821715275190237,-1.0686832626086,1.71188711107738,1.61902621838726,0.198643045381008,0.820735105169451,0.44222647145987,0.464144344896483,1.34846781279151,0.655209409567067,0.219635867025514,1.16259857531381,0.929454170017468,0.344862331693709,0.949436386170356,0.188377554929561,1.01537272637819,-0.276756021147641,4.58647996940909,-0.07009570634757,-0.0898654265711989,0.836642473218535,-0.753362967162807,-0.514573314576882,-0.160476616796096,-0.0168008013451434,0.551741977727066,0.0167292924875394,0.39550159563137,0.56549846657203,1.15693498359219,-0.158086382682409,-0.545161711727234,1.41270720060916,1.96906314179058,0.991031576999861,1.21429420838973,0.98334897127231,1.20607813879533,1.61261565869703,1.03798389735564,0.0348605289377778,9.6515843544617,-0.304228010355668,0.0565354102668234,-0.401220343926899,1.02263465372626,-0.110699916146726,0.14514170713497,-0.118321244684734,0.0720342575854555,0.597437869175507,-0.677495842301043,0.280954358192711,2.12059457602304,0.955365135073621,2.1203182332028,1.48658715779472,1.38336635187239,7.38439330343549,-0.195070584054971,1.12776422242835,-0.0265157658205537,0.282976662698231,-0.405352875291334,0.0228480172186598,0.718928809649581,1.49511699464223,-0.137985307727573,0.387307207985136,1.37823504938352,-0.0770314903709883
"HUN",0.826277974267074,0.246814149227098,0.174138835377499,0.381596237362953,-0.89241804291422,-0.319768186366689,0.558477877784059,-0.10856255943257,0.554456137263256,1.11032701164973,0.689478243606817,0.18958550807585,0.186702491110637,0.825373762478921,1.06655310882608,0.472431533629026,-0.192345633978059,0.0194284218550459,0.831168923280854,0.392967878956889,0.152459681236793,-0.15083235400656,0.29344531478449,0.49654392009854,0.275719056719538,0.185020278111347,1.97540164248453,0.413660877213499,-0.597709921103198,-0.514573314576882,-0.30623596882503,-0.120782001710684,-0.0649406007331019,-0.174693806827751,0.00921041358951396,0.56549846657203,0.949731982568416,-0.214777733277632,-1.04611336410956,0.897549161365062,0.696240503050192,0.582358914068616,0.738025618674548,1.75664230949917,0.0334038299306794,0.24782032573108,-1.15237937850185,-0.159014659360075,-0.0484518108369071,1.01774019817909,-0.065438858448947,-0.394331542707122,1.67712634318141,-0.186945223324848,0.0215929634616627,-0.0822099976595152,0.55349601554202,0.341200374523985,-0.0199328627390244,-0.385348934671246,-0.0148384243307403,2.00987121332574,0.416897379310323,1.52048174127476,1.38915295609718,-0.18771206926169,1.79020010539314,0.51982028327743,-0.41801066674806,-0.143345132546588,-0.168225874166222,0.023305976132752,-0.229465960228526,-0.0546501227972827,2.10341182333253,0.166099446943632,0.207909314112356,-0.12872744330644
"AGO",-0.380636999222151,-1.27622207812846,-0.989789889376924,-1.26164616804057,-1.16336091002488,-1.0234137465102,-1.15122273163727,-1.17854913495208,-1.31025892242808,-0.985399721731327,-1.42060736532329,-1.27827881076547,-1.74414516711976,-0.613746929897523,-0.755110355677458,-0.786540982739588,-0.252038608693338,-0.803956248147191,-1.39822287773526,-1.278141704572,-1.40866462847637,-0.663329140394599,-1.69185506709818,1.3691233281446,0.114034678042694,0.224409647525507,-0.784287981193109,-1.01121299881302,-1.11578534991272,-0.611251388967312,-0.309905841237225,-0.200156379489675,-0.344774183971681,-0.212225118206266,-0.364436255363379,-0.639670798595358,-3.84697643074733,-0.231897986491502,1.8094439088831,-1.14409069641287,-1.28852491249893,-0.571004236470749,-0.778961527616494,-0.904908491319797,-2.0237526560449,-0.483137474321847,-2.19509786875282,-0.199316372878077,-0.211909766194764,-0.745868957298445,-0.846088830977961,-0.375271810507274,-0.765308682263895,-0.340782483268649,-0.45430329673171,-0.136725873502607,-1.17204762673535,-0.831659052214286,-2.06770348162542,-0.385348934671246,-0.354079972552582,-1.10478064305632,-0.475778549495428,-0.583428625853346,-0.575851423350287,-0.625382034240398,-0.852994294484165,0.0710320174721479,-0.799223717298068,-0.630010180048139,-0.540765168127222,-0.363539918463416,-0.700904079948656,-0.640465518686967,-0.592533999230116,-0.425190704166043,-0.684662789108112,-0.154575081420355
"TTO",0.304368796542004,-0.212192891534781,-0.309937176125515,-0.38359915009365,-0.364830820972893,-1.08324915074657,-0.873141249667763,-0.701258786409854,-0.444075265009333,0.0750404577635485,0.439745432781587,0.081786857564211,0.220880210218819,-0.207084127456193,-0.567139036174299,-0.772119881118936,-0.252038608693338,-0.803956248147191,0.138054734415312,-0.0829067044884279,-0.409315413774563,0.241866181141941,-0.969927655504485,0.0137472108480774,-1.54474337723145,-1.16900678725346,-0.648243840164821,-1.15037478828773,-0.407010869348442,0.733798338864569,-0.200514777835129,-0.141005658780402,-0.345176743126959,-0.217040390427602,-0.351268626054032,-0.460296318026144,-1.06742941434904,-0.30757323624886,-0.667663133775266,0.250371370297441,0.171170268040988,-0.566812310653107,-1.07012132340043,-0.43079228092971,-1.14101955662594,-0.65182004356483,-0.577846560032221,-0.199316372878077,-0.356127304110744,-0.67563773079346,-0.61032957503018,-0.336085617073585,-0.94357322747279,-0.338925503569219,-0.45430329673171,-0.137405904763977,-0.859169026371762,-0.679583140754439,-0.791351217438793,-0.385348934671246,-0.352977962452631,-1.06922380601834,-0.452173302899967,-0.326900786245408,-0.49843755770255,-0.514592691681857,-0.632510554183984,-0.608139320262957,-0.547607633460839,-0.630010180048139,-0.512087967429613,-0.457762086579735,0.257165238117172,-0.421403002162112,-0.462134751379178,-0.375600764021488,-0.54369090986386,-0.154588877965124
"AZE",0.500084738188905,-0.200066266387752,-0.286301217742716,-0.688312418016305,1.15936315236422,2.90581289029859,-0.436308159423545,-0.460483474025563,-0.328005410306591,-0.733061551449164,0.773375132549492,-0.289841455328407,0.53637008115698,-0.432750816515261,-0.102695920039635,-0.647546109672449,-0.252038608693338,-0.659171482015299,0.260025696783857,0.2144877560712,0.271508107206181,-0.282649165604757,-0.608963949707635,-1.47544479114996,-0.70727416568324,-1.04613715005494,-0.580168730097464,1.53748785905916,-0.8152222849904,-0.438874228140977,-0.403749594133932,-0.216339160136423,-0.38541796348202,-0.21764407809907,-0.391316060054255,-0.324539606429484,0.327128757594043,-0.260265085683558,-0.281570253056256,-0.684040323701965,-0.548696668724318,-0.572853361797487,0.104372429957493,-0.361926694006928,0.784964392812605,-1.27543439046313,0.993841365938207,-0.195531721965015,-0.218972606586506,-0.679628153206546,-0.762754493031087,-0.279374213629541,-0.682392347227543,-0.208014269404842,-0.432588325822324,-0.107751437658833,-0.575710666987362,-0.623335885830934,0.177894409554078,-0.385348934671246,-0.829384265606794,-0.456355421913249,-0.458272276293655,-1.43072712835855,-0.600030608649603,-0.550299866949466,-0.677861400821997,0.11294261290848,-0.240377518327852,-0.525465831910743,-0.542193592909715,-0.411702312678061,-0.797445451982003,-0.530671888293706,-0.566079446750275,-0.396376387741563,-0.542564374667848,-0.147800192978144
"TGO",-0.478494970045602,-0.801280620517252,-0.700711909982505,-0.646227229089786,0.366772196188122,-0.609260526518003,-0.0622588131951822,-0.648457479726806,-0.520763055768983,-0.428949217555594,-0.231062929132898,-1.12520621234403,-0.165928388824497,-0.434594716801987,-0.746201431305059,-0.760804290743479,-0.252038608693338,-0.803956248147191,-0.72299516217942,-2.10726351989241,-1.15854516138405,-0.718360334769336,-0.969927655504485,0.460784974129578,-1.09382393172388,-0.85643405076429,-0.617598581416591,-1.15037478828773,-0.710925460332637,2.00416509959347,-0.293051655216341,-0.208000911941531,-0.330468483812762,-0.212225118206266,-0.389794201499009,-1.21403020230795,-0.508641802927942,-0.312091815029338,1.46627762246573,-1.25049805138515,-1.26279274832888,-0.566812310653107,-1.07012132340043,-0.674981602006592,-0.427212640512589,-0.483137474321847,-0.611955548999829,-0.199316372878077,-0.456096801629983,-0.558839337871245,-0.454003753435307,-0.209370449669235,-0.910105850624198,-0.250357237333877,-0.45430329673171,-0.140567234602104,-0.608060108550032,-0.806660272248283,0.69972612640321,-0.385348934671246,-0.777815176620325,-0.828158439385894,-0.475762483602539,-1.26039133169136,-0.597989757992166,-0.270541459018418,-0.751495680575402,-0.608139320262957,-0.944753388184035,-0.327564369643258,-0.529401030972759,0.365022345545354,-0.317969223117213,-0.640465518686967,-0.564815146230882,-0.418576462470151,-0.66820363956156,-0.150382678557904
"LSO",-0.217540381183067,-1.21526035428982,-0.805192206808482,-0.59510164407608,-1.25990930756417,-1.0234137465102,1.59429363416352,2.22216789304816,-0.94007370551938,-1.05763246720766,-1.11446757948343,-1.24884323186086,-1.12015219373526,-0.663965104089147,-0.753207463373418,-0.769135243065919,-0.252038608693338,-0.803956248147191,-1.93297318903739,-1.42845037093823,-1.94781757823963,-0.561901811065387,-0.78944580260606,0.559504115565261,-0.519016377000228,-0.481074537210743,-0.754021639297595,-0.968302345266389,-0.777349422454204,0.0683953786049009,0.038176364639397,-0.114105316667286,-0.344774183971681,-0.215219083825709,-0.302206957462419,0.364188208831457,-1.31863431734333,-0.317566085796781,1.10683426611515,-0.909989154915932,-1.02765970379742,-0.566812310653107,-1.24143723492097,-0.145971219897032,-1.90687615211225,-0.483137474321847,-1.30510326731853,-0.199316372878077,-0.384563131380599,-1.03897229941965,-0.626296189778069,-0.190925024881406,-0.852149815818329,-0.317602209464431,-0.343004012504621,-0.136823964449784,-0.176329315105087,-0.848324905524954,-1.35696957522745,-0.385348934671246,-0.731430523700196,-0.908994345338664,-0.464941753966993,-0.95653812145644,-0.61925712682705,-0.649966515358934,-0.835719183234346,-0.608139320262957,-0.748665124872923,-0.561281256730053,-0.47193634457454,-0.466449983988911,-0.486270758479649,-0.640465518686967,-0.563603516712845,-0.419622090748292,-0.659919263260549,-0.154575081420355
