"comparison","rand_index","n_indicators_full","n_indicators_subset","strategy"
"Full_vs_Strategy2_1perSubpillar",0.922987411403787,78,21,"Strategy2_1perSubpillar"
"Full_vs_Strategy1_3perPillar",0.91653443351317,78,21,"Strategy1_3perPillar"
