"size","mean_r_m","max_r_m"
10,0.730909936723375,0.756913940244135
15,0.794147049155436,0.814608160195376
20,0.83511176768683,0.861061177929001
25,0.865424551176339,0.880557801342238
30,0.897624465978139,0.914504552498019
