"size","mean_correlation","max_correlation"
10,0.707080005802938,0.795959109429324
15,0.780604506735439,0.862824793009005
20,0.829430946770248,0.881637706470432
25,0.85652815084093,0.90385539674065
30,0.889805869115694,0.931256496224975
