"Indicator","Mean","Median","Min","Max","Kurtosis","Skewness"
"PolStab",2.23327338129496,2.15,0.7,4.45,0.0316576869835867,0.57595932302697
"GovEff",0.148853958527417,0.0308966562151909,-1.75280201435089,2.31747198104858,-0.706891329832237,0.293277364735142
"RegQua",0.156772607790052,0.105498053133488,-2.02624750137329,2.30859136581421,-0.717889991115072,0.208766925876414
"RuleOL",0.0726795447755795,-0.122017979621887,-2.15153360366821,1.96704590320587,-0.76646835134767,0.286309199800205
"PolicyDB",4.03241882729378,3.98043817441861,1.826018,6.44865757377049,-0.650274885250913,0.0154825036170346
"EntreprenPCplus",4.62997338000763,4.54095238095238,2.92309821428571,7.24971698412698,0.28424732529575,0.642620371389731
"ExpEdu",4.23601476258171,4.14281885166484,0.348516707890877,9.3919470845238,0.830267268690079,0.306995119241648
"GovFundPup",18.4811765204231,17.9584999084473,5.99731016159058,51.0610008239746,1.9605525005637,0.851451749057198
"SchLifeExp",13.9187869586229,13.9399795532227,6.34468984603882,20.8455009460449,-0.420966698118364,-0.125753694928499
"PISA",419.108730913327,403.598581613846,337.447661313615,579.027493995812,-0.433861157630719,0.699124589030004
"PupTeachR",15.7958992292483,13.282940894424,6.13572434513191,68.1337417400881,10.0093171416646,2.47914906006462
"TertEnrol",50.5810591719928,53.417610168457,2.70813684546823,166.665649414062,-0.00475224239718239,0.411308516013719
"SciEngGrad",22.8765206638118,22.8809634089856,9.56000995635986,41.103458404541,-0.307759361246456,0.25048998501128
"TertMob",6.61039722676007,3.13963007926941,0,69.7259292602539,17.7593176757707,3.57729072644541
"ResPPop",1922.1834842689,669.76765,4.49567723342939,10413.0035519461,1.07933853160349,1.435706158292
"RDExp",0.878220565028441,0.42494,0.00548744264310364,6.345883364,5.70602540282052,2.16124862406729
"RDCompExp",933.5472489952,0,0,36142.7937877571,61.2499656677421,7.12046827306792
"QSRank",21.2856115107914,10.4333333333333,0,97.6333333333333,0.291735191936942,1.14427333960831
"ICTAccWIPO5G20",82.8794331124574,88.192298245614,24.3279649122807,100,0.472050471197337,-1.09165322657048
"ICTUseWIPO2",78.8102441761511,83.8111496005924,29.8357808002369,99.3624183012027,1.28309813304451,-1.35971606528569
"GovOLServ",0.683301366906475,0.72636,0.16879,1,-0.937582824580645,-0.407854385113913
"ElecOut",4663.61037467222,2879.19463087248,29.7596337275849,53263.1578947368,25.5912767166139,4.16715388890677
"LogPerf",3.03741007194245,2.9,2.1,4.3,-0.964944949594128,0.446582520408133
"GroCap",24.4800407673861,23.7023333333333,11.5953333333333,44.5566666666667,0.666594572761634,0.751658655759671
"GDPEner",11.9998702804296,10.9306331471136,2.16180371352785,41.2099616858237,4.46344382203414,1.69009220870577
"LowCarbonEner",22.004558311324,18.3845291304955,0.00991663436600264,82.6436654781437,0.816504014235263,1.06947767155065
"ISOEnv",2.05433113220015,0.993395263920958,0.0387995421654024,11.8651273007362,2.9503772361486,1.81891361250993
