"Indicator","Mean","Median","Min","Max","Kurtosis","Skewness"
"PolStab",2.23327338129496,2.15,0.7,4.45,-0.0551602803407136,0.563588166303395
"GovEff",0.148853958527417,0.0308966562151909,-1.75280201435089,2.31747198104858,-0.757197681843562,0.286977995843
"RegQua",0.156772607790052,0.105498053133488,-2.02624750137329,2.30859136581421,-0.767652602791533,0.204282775250737
"RuleOL",0.0726795447755795,-0.122017979621887,-2.15153360366821,1.96704590320587,-0.813829396762498,0.280159501652227
"PolicyDB",4.03211667306847,3.98043817441861,1.826018,6.44865757377049,-0.745226329624621,0.0157007167261386
"EntreprenPCplus",4.7187612928867,4.71597708333333,2.92309821428571,7.24971698412698,-0.317356975798669,0.438451236220196
"ExpEdu",4.24984897118806,4.163734896923,0.348516707890877,9.3919470845238,0.675739701172462,0.284652393789998
"GovFundPup",19.6040393849637,19.4064493179322,5.99731016159058,51.0610008239746,1.33011356101862,0.717460786684578
"SchLifeExp",14.1744142865971,14.3557836068499,6.34468984603882,20.8455009460449,-0.312437286870979,-0.275376166882331
"PISA",439.444135589787,439.289938655033,337.447661313615,579.027493995812,-0.914920290003382,0.0628408891341348
"PupTeachR",15.8875381370165,13.5267690812387,6.13572434513191,68.1337417400881,9.2344576135571,2.40517041774719
"TertEnrol",51.5070685233742,54.4012603759766,2.70813684546823,166.665649414062,-0.109989442906117,0.363084887379759
"SciEngGrad",23.2930843617443,23.1434307098389,9.56000995635986,41.103458404541,-0.4108134988586,0.16825501701307
"TertMob",7.33991952816773,4.24235010147095,0,69.7259292602539,14.4006941150432,3.26172698258149
"ResPPop",2269.69513820839,922.47062,4.49567723342939,10413.0035519461,0.387919969153286,1.17892002197743
"RDExp",1.01171518453003,0.614792318,0.00548744264310364,6.345883364,4.12670998832649,1.86724841284416
"RDCompExp",926.347874386847,0,0,36142.7937877571,57.8081012966519,6.95297360641337
"QSRank",21.2856115107914,10.4333333333333,0,97.6333333333333,0.192059784420851,1.11969524137646
"ICTAccWIPO5G20",83.015644870328,88.247447368421,24.3279649122807,100,0.422535628500966,-1.09262233305019
"ICTUseWIPO2",79.6451459646028,84.4671119589408,29.8357808002369,99.3624183012027,1.59937661041246,-1.45299394342327
"GovOLServ",0.682136884057971,0.7244,0.16879,1,-0.984705607320011,-0.386890266258889
"ElecOut",4936.3295272182,3183.45323741007,29.7596337275849,53263.1578947368,22.9006476861332,3.9689413756047
"LogPerf",3.11842105263158,3.1,2.1,4.3,-1.13453436974971,0.187902213938819
"GroCap",24.4927042606516,23.7023333333333,11.5953333333333,44.5566666666667,0.506816582709795,0.723966684166553
"GDPEner",12.2272573398328,11.0645161290323,2.16180371352785,41.2099616858237,3.70373662219193,1.5571681081462
"LowCarbonEner",22.004558311324,18.3845291304955,0.00991663436600264,82.6436654781437,0.69088563349499,1.04650612589082
"ISOEnv",2.05433113220015,0.993395263920958,0.0387995421654024,11.8651273007362,2.71926665863977,1.77984476777148
"FinanceSSGEMplus",4.48611132246686,4.49125,1.99202083333333,6.8975,-0.570626003849044,0.0881107690011156
"DomCred2Priv",60.330851037037,48.53442,8.14487,248.75861,2.29587841832779,1.47808583837452
"MicroLoanIMFFAS",2.08804800910705,1.04996621459078,0.00305698388338293,17.3416616921972,11.3254174825274,3.1807959321883
"MarkCap",80.8532052976191,37.4483733333333,0.202006666666667,1507.76958666667,51.0951376509417,6.71705566169533
"VenCapInvPB",0.653116808209878,0.1381025828988,0.00534683557526094,29.2328932458031,95.17869752903,9.53346258327274
"VenCapRecPB",0.235514257538062,0.0791916385762385,0.00709633117418918,5.49576079905193,63.340591162776,7.24603129331584
"LateVCInt",0.322008229774382,0.0264693877231661,0.0020537530464865,11.4255345628103,52.1551671013057,6.93369248731564
"JointVenPB",0.212469987399893,0.0568020358724518,0.000545580727769834,4.54864124880929,52.7913846004358,6.48873597337178
"AppTariffWTO",4.15843274945706,2.34349796279979,0,47.5443414971126,38.8691590165934,4.98192751025697
"HHI",0.175186620637168,0.140425808,0.066903419,0.550213282,2.77537989848098,1.56754701887448
"DomMarkSc",1370.76970503597,253.121,4.136,37072.086,45.033233849317,6.40733665812239
"Demogdividend",39.0037186749042,35.4066619395413,17.6254678832397,66.8673878401446,-1.02593231308013,0.519772440883648
"KnowIntsEmp",27.0674102648302,23.9374484139316,2.02398790930257,68.0148193887002,-0.990515028250119,0.300170753722475
"FemEmpDeg",13.4903201172922,12.783566210178,0.144468923089442,31.0430669653971,-1.1683421580771,0.251548760683787
"GERDPerf",0.767074348972325,0.38238,0.00148,5.902126447,6.94823418804709,2.24968110979948
"GERDFinBus",34.3057779665137,38.443075,0,80.83961,-1.11781129181798,-0.0652670797339108
"PublicPrivCopubs",2.007737729983,1.33795828786251,0.219305965770733,9.0718581950889,2.73488938038413,1.74446820858773
"UniResColl",3.96523201332766,3.85976559190031,2.30132042384106,6.71657171668667,-0.200983914873881,0.375288387843486
"THEunirank",55.7442307692308,49.4,26.7,97.1,-1.04209832678893,0.562221848603767
"StatClustDev",3.99803076647625,3.90322589874268,2.58721908609272,5.40164276110444,-0.833183418832997,0.238968204560303
"PatFam",1.3008874402548,0.0338604074314525,0,73.6723163841808,108.327355244645,10.0735847081945
"IntelPropPay",1.04897953647692,0.540994383728785,0,23.2467113474197,61.0180071724933,7.01950544960986
"HiTechImp",9.32723327305299,8.00679244897834,1.30493016077765,55.1938092949383,20.2736912810396,3.57371143326769
"ICTSevImp",1.74586100743674,1.43501528788813,0.0115399699773943,16.0148246063938,29.4512738823333,4.34126453707349
"FDINetInfl",3.93176036231884,2.49794333333334,-161.339056666667,224.254353333333,63.0557778048839,3.20371770234774
"ResTalBus",33.2473427121127,32.27,0.30038,81.9122211543954,-1.2307415235727,0.198322387606779
"PatOrig",2.54174426221756,0.621679665423307,0,61.5564267244975,37.3339949241618,5.79297897561247
"PCTInventors",0.623810559665963,0.0738914362282542,0,7.56850811485643,11.1626100089956,3.22089344179802
"UtilModOrig",1.54963740679557,0.164281806776857,0,88.5081625883207,77.8023990074281,8.848450735431
"SciTechArt",13.4175757960092,9.94407387450995,0.546758522098379,47.7218872791625,0.404976620288396,1.1060632228902
"CitDoc",466.215827338129,281,53,3213,7.50304605572079,2.3342600685467
"GrowPPP",0.83350521349616,0.859216123220123,-4.57028952563633,6.26310396108015,0.712530142777327,-0.0121833029890845
"UnicornVal",1.08827823746237,0,0,21.849963583394,26.0776128231823,4.65041641852001
"CompSoftSpend",0.237753963350897,0.205889650116845,0.00443684605733099,1.26297712317813,2.84290691628038,1.3870934068275
"HiTechManuf",25.1875195741339,21.9946451,1.044770283,79.64692541,0.033738750194459,0.727553623600641
"IntelPropRec",0.484706400139482,0.0706007382999381,0,5.36032739528423,8.61561879312296,2.94534377882621
"EcComplexity",0.0898661281162791,-0.046318118,-2.1804597,2.2851527,-0.580541582246919,0.224976543330772
"HTExpHKG",4.56540020829693,1.50961750188239,0.0195608893909628,48.3895671376223,11.7031566243367,3.01332513473323
"ICTServExp",2.99244909572913,1.67898535131736,0.00101665759582167,36.9786824505852,25.521257862149,4.45101444826227
"ISOQual",5.4577077356295,3.23189922587884,0.0387995421654024,29.8711629845067,3.1635531622601,1.7646454605944
"CorpIAs",41.655071017482,56.723961264595,-371.298464563929,89.7873201600379,26.3572269771173,-4.63042496666525
"TradmkOrig",36.7159368447548,28.95470018625,0,202.332963008877,6.89806325148598,2.18963120468985
"BrandVal",3.5871050050631,0.783243271194767,0,21.1219440697848,1.57700726528591,1.5962094039356
"IndustDes",2.21060509482675,0.917069032107152,0,23.2797761215246,11.1647973752306,3.17251060234503
"CultServExp",0.960732103099733,0.458101309318127,0.00211263056789771,18.3096191777759,50.7213994486704,6.32219902098487
"FilmsOmdia",5.008289557525,2.6667601302598,0,46.9295443141247,17.4381106479504,3.58613454782296
"EntMedia",0.92658015443931,0.473558456650212,0.0160041864010229,3.59144542530875,-0.243613286361768,0.872856374998882
"CreaGoodExp",1.27468915995424,0.383809709174646,0.000119757575267997,11.5025194605158,6.56483202586173,2.54591303156378
"TLDsMix",117.15692715018,22.3131008753049,0.124600220116794,2538.5717638906,43.8026143985168,5.80098594943921
"GHRecSentNoBot",1326116.27148103,410927.874981651,2571.5542333683,14402260.9693772,13.658949059705,2.9286251901066
"AppCrea",1379627.72626752,181351.443523944,0.0378007522349695,98744342.4777995,117.052196688189,10.7331038941242
